,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1
509,000725.OF,大成添利宝B,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
510,000726.OF,大成添利宝E,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
514,000730.OF,博时现金宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
515,000734.OF,博时天天增利A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
516,000735.OF,博时天天增利B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
520,000740.OF,兴银货币B,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
521,000741.OF,兴银货币A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
528,000748.OF,广发活期宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
529,000750.OF,安信现金增利A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
536,000758.OF,招商招钱宝C,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
537,000759.OF,平安财富宝,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
538,000760.OF,工银瑞信财富快线A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
542,000764.OF,万家货币E,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
544,000771.OF,诺安聚鑫宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
546,000773.OF,万家现金宝A,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
548,000779.OF,诺安聚鑫宝B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
552,000785.OF,华融现金增利A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
553,000786.OF,华融现金增利B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
554,000787.OF,华融现金增利C,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
556,000789.OF,易方达龙宝A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
557,000790.OF,易方达龙宝B,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
563,000797.OF,方正富邦金小宝,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
577,000816.OF,南方理财金A,货币市场型基金,货币市场型基金,同期中国人民银行公布的七天通知存款利率(税后),同期中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期中国人民银行公布的七天通知存款利率(税后)'],同期中国人民银行公布的七天通知存款利率(税后),"['同期中国人民银行公布的七天通知存款利率(税后)', nan]"
579,000818.OF,诺安天天宝C,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
587,000829.OF,易方达天天发A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
588,000830.OF,易方达天天发B,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
590,000832.OF,天弘现金C,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
594,000836.OF,国投瑞银钱多宝A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
595,000837.OF,国投瑞银钱多宝I,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
602,000846.OF,中融货币C,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
603,000847.OF,中融货币A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
604,000848.OF,工银瑞信添益快线,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
608,000855.OF,上投摩根天添盈A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
609,000856.OF,上投摩根天添盈B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
610,000857.OF,上投摩根天添盈E,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
612,000860.OF,银华惠增利,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
613,000861.OF,长城货币E,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
614,000862.OF,富国天时货币C,货币市场型基金,货币市场型基金,当期银行个人活期存款利率(税前),当期银行个人活期存款利率(税前),,nan,,nan,,nan,,nan,,['当期银行个人活期存款利率(税前)'],当期银行个人活期存款利率(税前),"['当期银行个人活期存款利率(税前)', nan]"
615,000863.OF,富国天时货币D,货币市场型基金,货币市场型基金,当期银行个人活期存款利率(税前),当期银行个人活期存款利率(税前),,nan,,nan,,nan,,nan,,['当期银行个人活期存款利率(税前)'],当期银行个人活期存款利率(税前),"['当期银行个人活期存款利率(税前)', nan]"
618,000868.OF,国投瑞银增利宝A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
619,000869.OF,国投瑞银增利宝B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
