,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2
2581,003446.OF,英大睿鑫A,混合型基金,灵活配置型基金,中证全指指数收益率*50%+中证全债指数收益率*50%,中证全指指数收益率,50%,中证全债指数收益率,50%
2582,003447.OF,英大睿鑫C,混合型基金,灵活配置型基金,中证全指指数收益率*50%+中证全债指数收益率*50%,中证全指指数收益率,50%,中证全债指数收益率,50%
2591,003456.OF,信达澳银新目标,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2605,003476.OF,南方安颐,混合型基金,偏债混合型基金,上证国债指数收益率*85%+沪深300指数收益率*15%,上证国债指数收益率,85%,沪深300指数收益率,15%
2612,003484.OF,金鹰鑫益A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2613,003485.OF,金鹰鑫益C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2616,003493.OF,申万菱信安鑫优选A,混合型基金,偏债混合型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2618,003495.OF,鹏华弘尚A,混合型基金,灵活配置型基金,中证综合债指数收益率*50%+沪深300指数收益率*50%,中证综合债指数收益率,50%,沪深300指数收益率,50%
2619,003496.OF,鹏华弘尚C,混合型基金,灵活配置型基金,中证综合债指数收益率*50%+沪深300指数收益率*50%,中证综合债指数收益率,50%,沪深300指数收益率,50%
2624,003501.OF,泰达宏利睿智稳健,混合型基金,灵活配置型基金,中证综合债券指数收益率*65%+沪深300指数收益率*35%,中证综合债券指数收益率,65%,沪深300指数收益率,35%
2625,003502.OF,金鹰鑫瑞A,混合型基金,灵活配置型基金,中证全债指数收益率*60%+沪深300指数收益率*40%,中证全债指数收益率,60%,沪深300指数收益率,40%
2626,003503.OF,金鹰鑫瑞C,混合型基金,灵活配置型基金,中证全债指数收益率*60%+沪深300指数收益率*40%,中证全债指数收益率,60%,沪深300指数收益率,40%
2631,003512.OF,申万菱信安鑫优选C,混合型基金,偏债混合型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2632,003513.OF,中邮消费升级,混合型基金,灵活配置型基金,中证消费指数收益率*60%+上证国债指数收益率*40%,中证消费指数收益率,60%,上证国债指数收益率,40%
2635,003516.OF,国泰融安多策略,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2659,003550.OF,泰达宏利改革动力C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2660,003554.OF,泰达宏利同顺大数据C,混合型基金,灵活配置型基金,中证800指数收益率*50%+中证综合债指数收益率*50%,中证800指数收益率,50%,中证综合债指数收益率,50%
2661,003561.OF,诺德成长精选A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中国债券总指数收益率*40%,沪深300指数收益率,60%,中国债券总指数收益率,40%
2662,003562.OF,诺德成长精选C,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中国债券总指数收益率*40%,沪深300指数收益率,60%,中国债券总指数收益率,40%
2666,003567.OF,华夏行业景气,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
2678,003581.OF,前海联合国民健康A,混合型基金,灵活配置型基金,中证医药卫生指数收益率*60%+中债综合指数收益率*40%,中证医药卫生指数收益率,60%,中债综合指数收益率,40%
2679,003582.OF,中金量化多策略,混合型基金,灵活配置型基金,沪深300指数收益率*80%+中证全债指数收益率*20%,沪深300指数收益率,80%,中证全债指数收益率,20%
2683,003586.OF,先锋精一A,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债总指数收益率*45%,沪深300指数收益率,55%,中债总指数收益率,45%
2684,003587.OF,先锋精一C,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债总指数收益率*45%,沪深300指数收益率,55%,中债总指数收益率,45%
2688,003591.OF,华泰柏瑞享利A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*50%,沪深300指数收益率,50%,中债综合指数收益率,50%
2689,003592.OF,华泰柏瑞享利C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*50%,沪深300指数收益率,50%,中债综合指数收益率,50%
2690,003593.OF,国泰景气行业,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*50%,沪深300指数收益率,50%,中债综合指数收益率,50%
2691,003594.OF,长盛盛崇A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2692,003595.OF,长盛盛崇C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2693,003598.OF,华商润丰A,混合型基金,灵活配置型基金,中证800指数收益率*65%+上证国债指数收益率*35%,中证800指数收益率,65%,上证国债指数收益率,35%
2694,003601.OF,申万菱信安鑫精选A,混合型基金,偏债混合型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2695,003602.OF,申万菱信安鑫精选C,混合型基金,偏债混合型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2696,003603.OF,景顺长城泰安A,混合型基金,灵活配置型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2697,003604.OF,景顺长城泰安C,混合型基金,灵活配置型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2701,003610.OF,南方荣安定期开放A,混合型基金,偏债混合型基金,中债综合指数收益率*85%+沪深300指数收益率*15%,中债综合指数收益率,85%,沪深300指数收益率,15%
2702,003611.OF,南方荣安定期开放C,混合型基金,偏债混合型基金,中债综合指数收益率*85%+沪深300指数收益率*15%,中债综合指数收益率,85%,沪深300指数收益率,15%
2711,003626.OF,平安鑫利A,混合型基金,灵活配置型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2720,003641.OF,长盛盛丰A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2721,003642.OF,长盛盛丰C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2727,003655.OF,信达澳银新财富,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2730,003658.OF,长盛量化多策略,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2731,003659.OF,山西证券策略精选,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债券指数收益率*50%,沪深300指数收益率,50%,中证综合债券指数收益率,50%
2735,003663.OF,鹏华兴泰,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2740,003670.OF,中融物联网主题,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%
2751,003684.OF,汇安丰融A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2752,003685.OF,汇安丰融C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2754,003692.OF,大成景尚A,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中证综合债券指数收益率*45%,沪深300指数收益率,55%,中证综合债券指数收益率,45%
2755,003693.OF,大成景尚C,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中证综合债券指数收益率*45%,沪深300指数收益率,55%,中证综合债券指数收益率,45%
2757,003697.OF,华夏睿磐泰盛,混合型基金,偏债混合型基金,上证国债指数收益率*85%+中证800指数收益率*15%,上证国债指数收益率,85%,中证800指数收益率,15%
2759,003704.OF,光大事件驱动,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2764,003713.OF,英大睿盛A,混合型基金,灵活配置型基金,中证全指指数收益率*50%+中证全债指数收益率*50%,中证全指指数收益率,50%,中证全债指数收益率,50%
2765,003714.OF,英大睿盛C,混合型基金,灵活配置型基金,中证全指指数收益率*50%+中证全债指数收益率*50%,中证全指指数收益率,50%,中证全债指数收益率,50%
2766,003715.OF,宝盈消费主题,混合型基金,灵活配置型基金,中证消费服务领先指数收益率*70%+中证综合债券指数收益率*30%,中证消费服务领先指数收益率,70%,中证综合债券指数收益率,30%
2767,003717.OF,中银量化精选A,混合型基金,灵活配置型基金,中证500指数收益率*75%+中债综合指数收益率*25%,中证500指数收益率,75%,中债综合指数收益率,25%
2777,003734.OF,万家瑞盈A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2778,003735.OF,万家瑞盈C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2779,003739.OF,新华鑫弘,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中国债券总指数收益率*40%,沪深300指数收益率,60%,中国债券总指数收益率,40%
2786,003749.OF,创金合信鑫收益A,混合型基金,灵活配置型基金,一年期人民币定期存款利率(税后)*70%+沪深300指数收益率*30%,一年期人民币定期存款利率(税后),70%,沪深300指数收益率,30%
2787,003750.OF,创金合信鑫收益C,混合型基金,灵活配置型基金,一年期人民币定期存款利率(税后)*70%+沪深300指数收益率*30%,一年期人民币定期存款利率(税后),70%,沪深300指数收益率,30%
2788,003751.OF,万家瑞隆,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中证全债指数收益率*25%,沪深300指数收益率,75%,中证全债指数收益率,25%
2791,003754.OF,国泰普益A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*50%,沪深300指数收益率,50%,中债综合指数收益率,50%
2792,003755.OF,国泰普益C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*50%,沪深300指数收益率,50%,中债综合指数收益率,50%
2795,003762.OF,国开泰富开泰A,混合型基金,灵活配置型基金,中债总财富(总值)指数收益率*70%+沪深300指数收益率*30%,中债总财富(总值)指数收益率,70%,沪深300指数收益率,30%
2796,003763.OF,国开泰富开泰C,混合型基金,灵活配置型基金,中债总财富(总值)指数收益率*70%+沪深300指数收益率*30%,中债总财富(总值)指数收益率,70%,沪深300指数收益率,30%
2801,003769.OF,中银品质生活,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%
2805,003780.OF,鹏华兴悦,混合型基金,灵活配置型基金,中证全债指数收益率*70%+沪深300指数收益率*30%,中证全债指数收益率,70%,沪深300指数收益率,30%
2813,003797.OF,华安新瑞利A,混合型基金,灵活配置型基金,中证800指数收益率*50%+中债综合全价指数收益率*50%,中证800指数收益率,50%,中债综合全价指数收益率,50%
