,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1,基准组成部分2,基准2,基准组成部分3,基准3,基准组成部分4,基准4
125,000182.OF,景顺长城四季金利C,债券型基金,混合债券型二级基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,,"['中证综合债券指数', nan, nan, nan]",中证综合债券指数,"['中证综合债券指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
126,000183.OF,嘉实丰益策略,债券型基金,中长期纯债型基金,一年期定期存款收益率(税后)+0.5%,一年期定期存款收益率(税后),,0.5%,,nan,,nan,,nan,,"['一年期定期存款收益率(税后)', '0.5%', nan, nan]",一年期定期存款收益率(税后),"['一年期定期存款收益率(税后)', nan]",0.5%,"['0.5%', nan]",,"['nan', nan]",,"['nan', nan]"
127,000184.OF,工银瑞信添福A,债券型基金,混合债券型二级基金,三年期定期存款利率+1.5%,三年期定期存款利率,,1.5%,,nan,,nan,,nan,,"['三年期定期存款利率', '1.5%', nan, nan]",三年期定期存款利率,"['三年期定期存款利率', nan]",1.5%,"['1.5%', nan]",,"['nan', nan]",,"['nan', nan]"
128,000185.OF,工银瑞信添福B,债券型基金,混合债券型二级基金,三年期定期存款利率+1.5%,三年期定期存款利率,,1.5%,,nan,,nan,,nan,,"['三年期定期存款利率', '1.5%', nan, nan]",三年期定期存款利率,"['三年期定期存款利率', nan]",1.5%,"['1.5%', nan]",,"['nan', nan]",,"['nan', nan]"
129,000186.OF,华泰柏瑞季季红,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税后)+1%,一年期银行定期存款收益率(税后),,1%,,nan,,nan,,nan,,"['一年期银行定期存款收益率(税后)', '1%', nan, nan]",一年期银行定期存款收益率(税后),"['一年期银行定期存款收益率(税后)', nan]",1%,"['1%', nan]",,"['nan', nan]",,"['nan', nan]"
130,000187.OF,华泰柏瑞丰盛纯债A,债券型基金,中长期纯债型基金,中债综合全价(总值)指数,中债综合全价(总值)指数,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数', nan, nan, nan]",中债综合全价(总值)指数,"['中债综合全价(总值)指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
131,000188.OF,华泰柏瑞丰盛纯债C,债券型基金,中长期纯债型基金,中债综合全价(总值)指数,中债综合全价(总值)指数,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数', nan, nan, nan]",中债综合全价(总值)指数,"['中债综合全价(总值)指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
132,000189.OF,易方达丰华A,债券型基金,混合债券型二级基金,中债总指数收益率*90%+沪深300指数收益率*10%,中债总指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,,"['中债总指数收益率*90%', '沪深300指数收益率*10%', nan, nan]",中债总指数收益率*90%,"['中债总指数收益率', '90%']",沪深300指数收益率*10%,"['沪深300指数收益率', '10%']",,"['nan', nan]",,"['nan', nan]"
134,000191.OF,富国信用债A,债券型基金,中长期纯债型基金,中债企业债总全价指数,中债企业债总全价指数,,nan,,nan,,nan,,nan,,"['中债企业债总全价指数', nan, nan, nan]",中债企业债总全价指数,"['中债企业债总全价指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
135,000192.OF,富国信用债C,债券型基金,中长期纯债型基金,中债企业债总全价指数,中债企业债总全价指数,,nan,,nan,,nan,,nan,,"['中债企业债总全价指数', nan, nan, nan]",中债企业债总全价指数,"['中债企业债总全价指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
136,000194.OF,银华信用四季红A,债券型基金,中长期纯债型基金,中债综合指数(全价),中债综合指数(全价),,nan,,nan,,nan,,nan,,"['中债综合指数(全价)', nan, nan, nan]",中债综合指数(全价),"['中债综合指数(全价)', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
139,000197.OF,富国一年期纯债,债券型基金,中长期纯债型基金,同期中国人民银行公布的一年期定期存款基准利率(税后)+1%,同期中国人民银行公布的一年期定期存款基准利率(税后),,1%,,nan,,nan,,nan,,"['同期中国人民银行公布的一年期定期存款基准利率(税后)', '1%', nan, nan]",同期中国人民银行公布的一年期定期存款基准利率(税后),"['同期中国人民银行公布的一年期定期存款基准利率(税后)', nan]",1%,"['1%', nan]",,"['nan', nan]",,"['nan', nan]"
142,000200.OF,博时岁岁增利,债券型基金,中长期纯债型基金,银行一年期定期存款利率(税后)*1.1,银行一年期定期存款利率(税后),1.1,nan,,nan,,nan,,nan,,"['银行一年期定期存款利率(税后)*1.1', nan, nan, nan]",银行一年期定期存款利率(税后)*1.1,"['银行一年期定期存款利率(税后)', '1.1']",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
143,000201.OF,诺安泰鑫一年A,债券型基金,中长期纯债型基金,一年期定期存款利率(税后)+1.2%,一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,,"['一年期定期存款利率(税后)', '1.2%', nan, nan]",一年期定期存款利率(税后),"['一年期定期存款利率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
146,000205.OF,易方达投资级信用债A,债券型基金,中长期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,,"['中债高信用等级债券财富指数', nan, nan, nan]",中债高信用等级债券财富指数,"['中债高信用等级债券财富指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
147,000206.OF,易方达投资级信用债C,债券型基金,中长期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,,"['中债高信用等级债券财富指数', nan, nan, nan]",中债高信用等级债券财富指数,"['中债高信用等级债券财富指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
148,000207.OF,建信双债增强A,债券型基金,混合债券型一级基金,中债综合全价(总值)指数,中债综合全价(总值)指数,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数', nan, nan, nan]",中债综合全价(总值)指数,"['中债综合全价(总值)指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
149,000208.OF,建信双债增强C,债券型基金,混合债券型一级基金,中债综合全价(总值)指数,中债综合全价(总值)指数,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数', nan, nan, nan]",中债综合全价(总值)指数,"['中债综合全价(总值)指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
153,000212.OF,泰信鑫益A,债券型基金,中长期纯债型基金,中国人民银行公布的一年期定期存款基准利率(税后)+0.5%,中国人民银行公布的一年期定期存款基准利率(税后),,0.5%,,nan,,nan,,nan,,"['中国人民银行公布的一年期定期存款基准利率(税后)', '0.5%', nan, nan]",中国人民银行公布的一年期定期存款基准利率(税后),"['中国人民银行公布的一年期定期存款基准利率(税后)', nan]",0.5%,"['0.5%', nan]",,"['nan', nan]",,"['nan', nan]"
154,000213.OF,泰信鑫益C,债券型基金,中长期纯债型基金,中国人民银行公布的一年期定期存款基准利率(税后)+0.5%,中国人民银行公布的一年期定期存款基准利率(税后),,0.5%,,nan,,nan,,nan,,"['中国人民银行公布的一年期定期存款基准利率(税后)', '0.5%', nan, nan]",中国人民银行公布的一年期定期存款基准利率(税后),"['中国人民银行公布的一年期定期存款基准利率(税后)', nan]",0.5%,"['0.5%', nan]",,"['nan', nan]",,"['nan', nan]"
162,000221.OF,汇添富年年利A,债券型基金,中长期纯债型基金,银行一年期定期存款利率(税后)+1.2%,银行一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,,"['银行一年期定期存款利率(税后)', '1.2%', nan, nan]",银行一年期定期存款利率(税后),"['银行一年期定期存款利率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
163,000222.OF,汇添富年年利C,债券型基金,中长期纯债型基金,银行一年期定期存款利率(税后)+1.2%,银行一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,,"['银行一年期定期存款利率(税后)', '1.2%', nan, nan]",银行一年期定期存款利率(税后),"['银行一年期定期存款利率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
164,000227.OF,华安年年红A,债券型基金,中长期纯债型基金,同期一年期定期存款收益率(税后)+1.2%,同期一年期定期存款收益率(税后),,1.2%,,nan,,nan,,nan,,"['同期一年期定期存款收益率(税后)', '1.2%', nan, nan]",同期一年期定期存款收益率(税后),"['同期一年期定期存款收益率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
165,000235.OF,诺安稳固收益,债券型基金,中长期纯债型基金,固定业绩基准3.0%,固定业绩基准3.0%,,nan,,nan,,nan,,nan,,"['固定业绩基准3.0%', nan, nan, nan]",固定业绩基准3.0%,"['固定业绩基准3.0%', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
166,000236.OF,工银月月薪定期支付A,债券型基金,混合债券型二级基金,三年期银行定期存款收益率(税后)+1.5%,三年期银行定期存款收益率(税后),,1.5%,,nan,,nan,,nan,,"['三年期银行定期存款收益率(税后)', '1.5%', nan, nan]",三年期银行定期存款收益率(税后),"['三年期银行定期存款收益率(税后)', nan]",1.5%,"['1.5%', nan]",,"['nan', nan]",,"['nan', nan]"
167,000239.OF,华安年年盈A,债券型基金,中长期纯债型基金,一年期定期存款利率(税后)+1.2%,一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,,"['一年期定期存款利率(税后)', '1.2%', nan, nan]",一年期定期存款利率(税后),"['一年期定期存款利率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
168,000240.OF,华安年年盈C,债券型基金,中长期纯债型基金,一年期定期存款利率(税后)+1.2%,一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,,"['一年期定期存款利率(税后)', '1.2%', nan, nan]",一年期定期存款利率(税后),"['一年期定期存款利率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
171,000244.OF,天弘稳利A,债券型基金,中长期纯债型基金,一年期银行定期存款利率(税后)*1.4,一年期银行定期存款利率(税后),1.4,nan,,nan,,nan,,nan,,"['一年期银行定期存款利率(税后)*1.4', nan, nan, nan]",一年期银行定期存款利率(税后)*1.4,"['一年期银行定期存款利率(税后)', '1.4']",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
172,000245.OF,天弘稳利B,债券型基金,中长期纯债型基金,一年期银行定期存款利率(税后)*1.4,一年期银行定期存款利率(税后),1.4,nan,,nan,,nan,,nan,,"['一年期银行定期存款利率(税后)*1.4', nan, nan, nan]",一年期银行定期存款利率(税后)*1.4,"['一年期银行定期存款利率(税后)', '1.4']",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
173,000246.OF,博时月月薪,债券型基金,中长期纯债型基金,3年期定期存款利率(税后),3年期定期存款利率(税后),,nan,,nan,,nan,,nan,,"['3年期定期存款利率(税后)', nan, nan, nan]",3年期定期存款利率(税后),"['3年期定期存款利率(税后)', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
176,000252.OF,景顺长城景兴信用纯债A,债券型基金,中长期纯债型基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,,"['中证综合债券指数', nan, nan, nan]",中证综合债券指数,"['中证综合债券指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
177,000253.OF,景顺长城景兴信用纯债C,债券型基金,中长期纯债型基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,,"['中证综合债券指数', nan, nan, nan]",中证综合债券指数,"['中证综合债券指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
178,000254.OF,长城增强收益A,债券型基金,中长期纯债型基金,每个封闭期同期对应的一年期定期存款利率(税后)*1.1,每个封闭期同期对应的一年期定期存款利率(税后),1.1,nan,,nan,,nan,,nan,,"['每个封闭期同期对应的一年期定期存款利率(税后)*1.1', nan, nan, nan]",每个封闭期同期对应的一年期定期存款利率(税后)*1.1,"['每个封闭期同期对应的一年期定期存款利率(税后)', '1.1']",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
179,000255.OF,长城增强收益C,债券型基金,中长期纯债型基金,每个封闭期同期对应的一年期定期存款利率(税后)*1.1,每个封闭期同期对应的一年期定期存款利率(税后),1.1,nan,,nan,,nan,,nan,,"['每个封闭期同期对应的一年期定期存款利率(税后)*1.1', nan, nan, nan]",每个封闭期同期对应的一年期定期存款利率(税后)*1.1,"['每个封闭期同期对应的一年期定期存款利率(税后)', '1.1']",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
184,000265.OF,易方达恒久添利1年A,债券型基金,中长期纯债型基金,一年期银行定期整存整取存款利率(税后)+1.2%,一年期银行定期整存整取存款利率(税后),,1.2%,,nan,,nan,,nan,,"['一年期银行定期整存整取存款利率(税后)', '1.2%', nan, nan]",一年期银行定期整存整取存款利率(税后),"['一年期银行定期整存整取存款利率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
185,000266.OF,易方达恒久添利1年C,债券型基金,中长期纯债型基金,一年期银行定期整存整取存款利率(税后)+1.2%,一年期银行定期整存整取存款利率(税后),,1.2%,,nan,,nan,,nan,,"['一年期银行定期整存整取存款利率(税后)', '1.2%', nan, nan]",一年期银行定期整存整取存款利率(税后),"['一年期银行定期整存整取存款利率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
186,000267.OF,广发集利一年A,债券型基金,中长期纯债型基金,银行一年期定期存款利率(税后)+0.5%,银行一年期定期存款利率(税后),,0.5%,,nan,,nan,,nan,,"['银行一年期定期存款利率(税后)', '0.5%', nan, nan]",银行一年期定期存款利率(税后),"['银行一年期定期存款利率(税后)', nan]",0.5%,"['0.5%', nan]",,"['nan', nan]",,"['nan', nan]"
187,000268.OF,广发集利一年C,债券型基金,中长期纯债型基金,银行一年期定期存款利率(税后)+0.5%,银行一年期定期存款利率(税后),,0.5%,,nan,,nan,,nan,,"['银行一年期定期存款利率(税后)', '0.5%', nan, nan]",银行一年期定期存款利率(税后),"['银行一年期定期存款利率(税后)', nan]",0.5%,"['0.5%', nan]",,"['nan', nan]",,"['nan', nan]"
